ID	URL	Title	Author	Year	Language	License
3330	http://ota.ox.ac.uk/text/3330.txt	Genuine memoirs of the life and adventures of the celebrated Miss Ann Elliot: Written by a gentleman intimately acquainted with her; ...	Murphy, Arthur, 1727-1805.	1769.	English	CC BY-SA
5583	http://ota.ox.ac.uk/text/5583.txt	Reasons: why the apothecary may be suppos'd to understand the administration of medicines in the cure of diseases, as well as the physician. In a letter from an apothecary to a physician	Apothecary.	1704.	English	CC BY-SA
5498	http://ota.ox.ac.uk/text/5498.txt	The tragedy of Sophonisba: Acted at the Theatre-Royal in Drury-Lane. By His Majesty's servants. By Mr. Thomson.	Thomson, James, 1700-1748.	1730.	English	CC BY-SA
3094	http://ota.ox.ac.uk/text/3094.txt	The Life of Charlotte Brontë	Gaskell, Elizabeth Cleghorn, 1810-1865	1857	English	CC BY-SA
4935	http://ota.ox.ac.uk/text/4935.txt	A vindication of The age of reason, by Thomas Paine: being an answer to the strictures of Mr. Gilbert Wakefield and Dr. Priestley, ... By Thomas Dutton.	Dutton, Thomas, 18th/19th cent.	1795.	English	CC BY-SA
5208	http://ota.ox.ac.uk/text/5208.txt	The just limitation of slavery: in the laws of God, compared with the unbounded claims of the African traders and British American slaveholders. By Granville Sharp. With a copious appendix: ...	Sharp, Granville, 1735-1813.	1776.	English	CC BY-SA
5656	http://ota.ox.ac.uk/text/5656.txt	A pill to purge the dispensary doctors: or, a cure for the present state of physick.	(unknown)	1702.	English	CC BY-SA
5722	http://ota.ox.ac.uk/text/5722.txt	THE Two Gentlemen of Verona.	Shakespeare, William, 1564-1616	1623	English	CC BY-SA
4583	http://ota.ox.ac.uk/text/4583.txt	Amabella, a poem	Jerningham, Mr. (Edward), 1737?-1812.	1768.	English	CC BY-SA
4800	http://ota.ox.ac.uk/text/4800.txt	The amorous widow: or, the wanton wife. A comedy. As it is perform'd by Her Majesty's servants. Written by the late famous Mr. Thomas Betterton. Now first printed from the original copy.	Betterton, Thomas, 1635?-1710.	1710.	English	CC BY-SA
4711	http://ota.ox.ac.uk/text/4711.txt	An address to the Whig Club: with an essay on the judicial discretion of judges, on fiats and on bail	MacNally, Leonard, 1752-1820.	1790.	English	CC BY-SA
4144	http://ota.ox.ac.uk/text/4144.txt	The prospect: being the fifth part of Liberty. A poem. By Mr. Thomson	Thomson, James, 1700-1748.	1736.	English	CC BY-SA
4532	http://ota.ox.ac.uk/text/4532.txt	An essay on the genius and writings of Shakespear: with some letters of criticism to The spectator. By Mr. Dennis	Dennis, John, 1657-1734.	1712.	English	CC BY-SA
4647	http://ota.ox.ac.uk/text/4647.txt	The minute mathematician: or, the free-thinker no just-thinker. Set forth in a second letter to the author of The analyst; containing a defence of Sir Isaac Newton and the British mathematicians, ... By Philalethes Cantabrigiensis	Jurin, James, 1684-1750.	1735.	English	CC BY-SA
3570	http://ota.ox.ac.uk/text/3570.txt	Barbarossa: A tragedy. As it is perform'd at the Theatre-Royal in Drury-Lane.	Brown, John, 1715-1766.	1755.	English	CC BY-SA
4368	http://ota.ox.ac.uk/text/4368.txt	April-day, a burletta, in three acts. Written by the author of Midas. As it is performed at the Theatre Royal in the Hay-Market. The music composed by Dr. Arnold	O'Hara, Kane, 1714?-1782.	1777.	English	CC BY-SA
5386	http://ota.ox.ac.uk/text/5386.txt	The cause of the deluge demonstrated	Whiston, William, 1667-1752.	1717?]	English	CC BY-SA
3586	http://ota.ox.ac.uk/text/3586.txt	The candidate. A poem. By C. Churchill	Churchill, Charles, 1731-1764.	1764.	English	CC BY-SA
4610	http://ota.ox.ac.uk/text/4610.txt	An essay on the history of civil society: By Adam Ferguson, ...	Ferguson, Adam, 1723-1816.	1767.	English	CC BY-SA
4222	http://ota.ox.ac.uk/text/4222.txt	A vindication of some passages in the fifteenth and sixteenth chapters of the History of the decline and fall of the Roman Empire: By the author.	Gibbon, Edward, 1737-1794.	1779.	English	CC BY-SA
5129	http://ota.ox.ac.uk/text/5129.txt	Yorick's meditations: upon various interesting and important subjects. Viz. Upon nothing. Upon something. Upon the thing. ...	Sterne, Laurence, 1713-1768.	1760.	English	CC BY-SA
3291	http://ota.ox.ac.uk/text/3291.txt	Plain Tales from the Hills	Kipling, Rudyard, 1865-1936	1888	English	CC BY-SA
5042	http://ota.ox.ac.uk/text/5042.txt	The habitable world described: or the present state of the people in all parts of the globe, from north to south; shewing the situation, extent, climate, ... including all the new discoveries: ... With a great variety of maps and copper-plates, ... By the Rev. Dr. John Trusler. ... [pt.8]	Trusler, John, 1735-1820.	1788-97.	English	CC BY-SA
3101	http://ota.ox.ac.uk/text/3101.txt	Hand and heart	Gaskell, Elizabeth Cleghorn, 1810-1865	1849	English	CC BY-SA
5035	http://ota.ox.ac.uk/text/5035.txt	The habitable world described: or the present state of the people in all parts of the globe, from north to south; shewing the situation, extent, climate, ... including all the new discoveries: ... With a great variety of maps and copper-plates, ... By the Rev. Dr. John Trusler. ... [pt.1]	Trusler, John, 1735-1820.	1788-97.	English	CC BY-SA
3582	http://ota.ox.ac.uk/text/3582.txt	The double mistake: A comedy. As it is performed at the Theatre-Royal in Covent-Garden.	Griffith, Mrs. (Elizabeth), 1720?-1793.	1766.	English	CC BY-SA
5628	http://ota.ox.ac.uk/text/5628.txt	The history of Jack Connor.: [pt.1]	Chaigneau, William, 1709-1781.	1753.	English	CC BY-SA
4967	http://ota.ox.ac.uk/text/4967.txt	Henry: in four volumes. By the author of Arundel. ... [pt.3]	Cumberland, Richard, 1732-1811.	1795.	English	CC BY-SA
3490	http://ota.ox.ac.uk/text/3490.txt	Sure methods of attaining a long and healthful life: Written originally in Italian, by Lewis Cornaro, ... Translated into English by W. Jones A.B.	Cornaro, Luigi, 1475-1566.	1753.	English	CC BY-SA
4359	http://ota.ox.ac.uk/text/4359.txt	Clarissa: Or, the history of a young lady: comprehending the most important concerns of private life. ... Published by the editor of Pamela. ... [pt.2]	Richardson, Samuel, 1689-1761.	1748.	English	CC BY-SA
5385	http://ota.ox.ac.uk/text/5385.txt	An estimate of the manners and principles of the times: By the author of Essays on the characteristics, &amp;c.	Brown, John, 1715-1766.	1757.	English	CC BY-SA
3089	http://ota.ox.ac.uk/text/3089.txt	Janet's repentance	Eliot, George, 1819-1880	1858	English	CC BY-SA
3401	http://ota.ox.ac.uk/text/3401.txt	Ode to Mr. Pinchbeck, upon his newly invented patent candle-snuffers: by Malcolm M'Greggor, ...	Mason, William, 1725-1797.	1776.	English	CC BY-SA
5402	http://ota.ox.ac.uk/text/5402.txt	Songs duetts, choruses, &amp;c. in a new and appropriate entertainment, called The glorious first of June: Performed, for the first time, by Their Majesties servants at the Theatre Royal Drury Lane, for the benefit of the widows and orphans of the brave men who fell in the engagements under Earl Howe.	Sheridan, Richard Brinsley, 1751-1816.	[1794]	English	CC BY-SA
5724	http://ota.ox.ac.uk/text/5724.txt	THE Taming of the Shrew.	Shakespeare, William, 1564-1616	1623	English	CC BY-SA
3760	http://ota.ox.ac.uk/text/3760.txt	False delicacy: a comedy; as it is performed at the Theatre-Royal in Drury-Lane. By His Majesty's servants. By Hugh Kelly.	Kelly, Hugh, 1739-1777.	1768.	English	CC BY-SA
4539	http://ota.ox.ac.uk/text/4539.txt	Ye true-born Englishmen proceed: Our trifling crimes detect, ...	Defoe, Daniel, 1661?-1731.	1701]	English	CC BY-SA
4444	http://ota.ox.ac.uk/text/4444.txt	On illicit love. Written among the ruins of Godstow nunnery, near Oxford. By John Brand,	Brand, John, 1744-1806.	1775.	English	CC BY-SA
3909	http://ota.ox.ac.uk/text/3909.txt	A defence of Mr. Kenrick's review of Dr. Johnson's Shakespeare: containing a number of curious and ludicrous anecdotes of literary biography. By a friend.	Kenrick, W. (William), 1725?-1779.	1766.	English	CC BY-SA
3722	http://ota.ox.ac.uk/text/3722.txt	Thoughts on the peace, and the probable advantages thereof to the United States of America: By Thomas Paine, ...	Paine, Thomas, 1737-1809.	1783.	English	CC BY-SA
3877	http://ota.ox.ac.uk/text/3877.txt	A sermon preach'd at Queen-street chapel, and St. Paul's, Covent-Garden: on Friday the 17th of February, 1758. ... By the Rev. Thomas Francklin, ...	Francklin, Thomas, 1721-1784.	1758.	English	CC BY-SA
5500	http://ota.ox.ac.uk/text/5500.txt	The substance of the evidence on the petition presented by the West-India planters and merchants, to the Hon. House of Commons: as it was introduced at the bar, and summ'd up by Mr. Glover, on Thursday the 16th of March, 1775.	Glover, Richard, 1712-1785.	M,DCC,LXXV. [1775]	English	CC BY-SA
3744	http://ota.ox.ac.uk/text/3744.txt	The sick monkey, a fable	Garrick, David, 1717-1779.	1765.	English	CC BY-SA
4572	http://ota.ox.ac.uk/text/4572.txt	The Princess of Zanfara: a dramatic poem.	Hutchinson, William, 1732-1814.	1789.	English	CC BY-SA
5257	http://ota.ox.ac.uk/text/5257.txt	The poetical works: of Thomas Gray. With the life of the author.	Gray, Thomas, 1716-1771.	1782.	English	CC BY-SA
4155	http://ota.ox.ac.uk/text/4155.txt	Remarks concerning the encroachments on the river Thames near Durham-yard. ... In two parts	Sharp, Granville, 1735-1813.	1771.	English	CC BY-SA
3649	http://ota.ox.ac.uk/text/3649.txt	An enquiry into the danger and consequences of a war with the Dutch	Defoe, Daniel, 1661?-1731.	1712.	English	CC BY-SA
3638	http://ota.ox.ac.uk/text/3638.txt	Advice addressed to the young clergy of the diocese of Carlisle: in a sermon, preached ... on Sunday, July 29th, 1781. By William Paley, ...	Paley, William, 1743-1805.	1781.	English	CC BY-SA
3248	http://ota.ox.ac.uk/text/3248.txt	Volpone	Jonson, Ben, 1573?-1637	1607	English	CC BY-SA
4614	http://ota.ox.ac.uk/text/4614.txt	Proposals for printing a very curious discourse: in two volumes in quarto, intitled, Pseudologia politikē; or, a treatise of the art of political lying, with an abstract of the first volume of the said treatise.	Arbuthnot, John, 1667-1735.	1712.	English	CC BY-SA
4027	http://ota.ox.ac.uk/text/4027.txt	Lucius, the first Christian King of Britain: A tragedy. As it is acted at the Theatre-Royal in Drury-Lane. By His Majesty's servants. By Mrs. Manley.	Manley, Mrs. (Mary de la Rivière), 1663-1724.	1717.	English	CC BY-SA
3667	http://ota.ox.ac.uk/text/3667.txt	A clue to the comedy of the Non-juror: With some hints of consequence relating to that play. In a letter to N. Rowe, Esq; ...	Pope, Alexander, 1688-1744.	1718.	English	CC BY-SA
3893	http://ota.ox.ac.uk/text/3893.txt	Britannia triumphans: or the Empire sav'd: and Europe deliver'd. By the success of her Majesty's forces under the wise and heroick conduct of his Grace the Duke of Marlborough. A poem, by Mr. Dennis.	Dennis, John, 1657-1734.	1704.	English	CC BY-SA
4530	http://ota.ox.ac.uk/text/4530.txt	A tour thro' the whole island of Great Britain: Divided into circuits or journeys. Giving a particular and entertaining account of whatever is curious, and worth observation; ... By a gentleman. ... [pt.4]	Defoe, Daniel, 1661?-1731.	1742.	English	CC BY-SA
4292	http://ota.ox.ac.uk/text/4292.txt	The history and adventures of an atom: In two volumes. ... [pt.1]	Smollett, Tobias George, 1721-1771.	MDCCXLIX [1769]	English	CC BY-SA
3672	http://ota.ox.ac.uk/text/3672.txt	The Dunciad: With notes variorum, and the prolegomena of Scriblerus. Written in the year, 1727.	Pope, Alexander, 1688-1744.	[1735]	English	CC BY-SA
4418	http://ota.ox.ac.uk/text/4418.txt	The history of Lady Julia Mandeville: In two volumes. By the translator of Lady Catesby's letters. [pt.1]	Brooke, Frances, 1724?-1789.	1763.	English	CC BY-SA
3529	http://ota.ox.ac.uk/text/3529.txt	Mr. Burke's speech, in Westminster-Hall, on the 18th and 19th of February, 1788: with explanatory notes. ... With a preface, ...	Burke, Edmund, 1729-1797.	1792.	English	CC BY-SA
4248	http://ota.ox.ac.uk/text/4248.txt	A voyage round the world. Containing an account of Captain Dampier's expedition into the South-Seas in the ship St George, in the years 1703 and 1704. ... Together with the author's voyage from Amapalla ... By William Funnell,	Funnell, William.	1707.	English	CC BY-SA
3846	http://ota.ox.ac.uk/text/3846.txt	An appendix to the Representation: (printed in the year 1769,) of the injustice and dangerous tendency of tolerating slavery, or of admitting the least claim of private property in the persons of men in England. By Granville Sharp.	Sharp, Granville, 1735-1813.	1772.	English	CC BY-SA
4715	http://ota.ox.ac.uk/text/4715.txt	Sketches of the natural, civil, and political state of Swisserland: in a series of letters to William Melmoth, Esq; from William Coxe, ...	Coxe, William, 1747-1828.	1779.	English	CC BY-SA
3542	http://ota.ox.ac.uk/text/3542.txt	The happy waterman	More, Hannah, 1745-1833.	[1790]	English	CC BY-SA
4909	http://ota.ox.ac.uk/text/4909.txt	A sermon preach'd before the Right Honourable the Lord Mayor the aldermen, and citizens of London, at the cathedral church of St. Paul, on Friday the twenty ninth day of May, 1741. ... By James Townley,	Townley, James, 1714-1778.	1741.	English	CC BY-SA
5086	http://ota.ox.ac.uk/text/5086.txt	The pupil of pleasure: or, the new system illustrated. Inscribed to Mrs. Eugenia Stanhope, editor of Lord Chesterfield's letters. By Courtney Melmoth. ... [pt.2]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1776.	English	CC BY-SA
3986	http://ota.ox.ac.uk/text/3986.txt	The Hackney coachman; or, the way to get a good fare	More, Hannah, 1745-1833.	[1796]	English	CC BY-SA
3769	http://ota.ox.ac.uk/text/3769.txt	A short history of the opposition during the last session of Parliament	Macpherson, James, 1736-1796.	1779.	English	CC BY-SA
3130	http://ota.ox.ac.uk/text/3130.txt	The wrecker	Stevenson, Robert Louis, 1850-1894; Osbourne, Lloyd, 1868-1947	1892	English	CC BY-SA
4369	http://ota.ox.ac.uk/text/4369.txt	The duenna: a comic opera. In three acts. As performed at the Theatre Royal, Covent Garden: with universal applause. By R. B. Sheridan, Esq	Sheridan, Richard Brinsley, 1751-1816.	1794.	English	CC BY-SA
4347	http://ota.ox.ac.uk/text/4347.txt	Shenstone-Green: or, the new Paradise lost. Being a history of human nature. In three volumes. ... Written by the proprietor of the Green. The editor Courtney Melmoth. [pt.1]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1779.	English	CC BY-SA
3271	http://ota.ox.ac.uk/text/3271.txt	The Eyes of Asia	Kipling, Rudyard, 1865-1936	1919	English	CC BY-SA
5069	http://ota.ox.ac.uk/text/5069.txt	A hymn to harmony: written in honour of St. Cecilia's day, M DCC I. By Mr. Congreve. Set to musick by Mr. John Eccles, ...	Congreve, William, 1670-1729.	1703 [1702]	English	CC BY-SA
4765	http://ota.ox.ac.uk/text/4765.txt	The speech of R. B. Sheridan: ... on Wednesday, the 7th of February, 1787, in bringing forward the fourth charge against Warren Hastings, Esq. relative to the Begums of Oude.	Sheridan, Richard Brinsley, 1751-1816.	1787.	English	CC BY-SA
3910	http://ota.ox.ac.uk/text/3910.txt	A defence of Sir Fopling Flutter, a comedy written by Sir George Etheridge. In which defence is shewn, that Sir Fopling, ... was rightly compos'd by the knight his father, to answer the ends of comedy;	Dennis, John, 1657-1734.	1722.	English	CC BY-SA
3887	http://ota.ox.ac.uk/text/3887.txt	Judith: A sacred drama. As it is performed at the Theatre Royal in Drury-Lane. The music composed by Dr. Arne.	Bickerstaff, Isaac, 1735-1812.	1761.	English	CC BY-SA
3343	http://ota.ox.ac.uk/text/3343.txt	Letters of literature: By Robert Heron, Esq.	Pinkerton, John, 1758-1826.	1785.	English	CC BY-SA
3656	http://ota.ox.ac.uk/text/3656.txt	Letters of Mr. Wycherley &amp; Mr. Pope, from the year 1704 to 1710: [pt.2]	Pope, Alexander, 1688-1744.	1735]	English	CC BY-SA
4555	http://ota.ox.ac.uk/text/4555.txt	The family instructor: In two parts. I. Relating to family breaches, and their obstructing religious duties. II. To the great mistake of mixing the passions, in the managing and correcting of children. ... Vol.II. [pt.2]	Defoe, Daniel, 1661?-1731.	1718.	English	CC BY-SA
4707	http://ota.ox.ac.uk/text/4707.txt	Family secrets: literary and domestic. By Mr. Pratt. In five volumes. [pt.5]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1797.	English	CC BY-SA
4384	http://ota.ox.ac.uk/text/4384.txt	Charles and Charlotte: In two volumes. [pt.2]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1777.	English	CC BY-SA
5686	http://ota.ox.ac.uk/text/5686.txt	Observations on the increased population, healthiness, &amp;c. of the town of Maidstone	Howlett, John, 1731-1804.	1782.	English	CC BY-SA
5346	http://ota.ox.ac.uk/text/5346.txt	The miscellaneous works of Oliver Goldsmith, M.B. Containing all his essays and poems	Goldsmith, Oliver, 1730?-1774.	1775.	English	CC BY-SA
3527	http://ota.ox.ac.uk/text/3527.txt	The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ... [pt.6]	Richardson, Samuel, 1689-1761.	1753.	English	CC BY-SA
3133	http://ota.ox.ac.uk/text/3133.txt	The sentiments of a British American	Thacher, Oxenbridge, 1719-1765	1764	English	CC BY-SA
3733	http://ota.ox.ac.uk/text/3733.txt	Introduction to the school of Shakespeare; held, on Wednesday evenings, in the Apollo, at the Devil Tavern, Temple Bar. To which is added a retort courteous on the criticks, as delivered at the second and third lectures	Kenrick, W. (William), 1725?-1779.	[1774]	English	CC BY-SA
3577	http://ota.ox.ac.uk/text/3577.txt	Medea. A tragedy	Glover, Richard, 1712-1785.	1761.	English	CC BY-SA
3048	http://ota.ox.ac.uk/text/3048.txt	Lord Jim	Conrad, Joseph, 1857-1924	1900	English	CC BY-SA
3012	http://ota.ox.ac.uk/text/3012.txt	Actions and Reactions	Kipling, Rudyard, 1865-1936	1909	English	CC BY-SA
3172	http://ota.ox.ac.uk/text/3172.txt	Die Bibel 	(unknown)	1534	German	CC BY-SA
5530	http://ota.ox.ac.uk/text/5530.txt	An enquiry into the advantage received by the first eight years inoculation	(unknown)	1731.	English	CC BY-SA
4099	http://ota.ox.ac.uk/text/4099.txt	Poems and plays: by William Hayley, Esq. In six volumes. ... [pt.4]	Hayley, William, 1745-1820.	1785.	English	CC BY-SA
3258	http://ota.ox.ac.uk/text/3258.txt	The scarlet letter	Hawthorne, Nathaniel, 1804-1864	1906	English	CC BY-SA
3981	http://ota.ox.ac.uk/text/3981.txt	Five pastoral eclogues: the scenes of which are suppos'd to lie among the shepherds, oppress'd by the war in Germany	Warton, Thomas, 1728-1790.	1745.	English	CC BY-SA
3774	http://ota.ox.ac.uk/text/3774.txt	The influence of piety on the public good. A sermon, preached in the High Church of Edinburgh, May 31. 1761, ... By Alexander Gerard,	Gerard, Alexander, 1728-1795.	1761.	English	CC BY-SA
4498	http://ota.ox.ac.uk/text/4498.txt	A farther argument against ennobling foreigners, in answer to the two parts of the State anatomy: with a short account of the anatomizer	Defoe, Daniel, attributed name. 1661?-1731,	1717.	English	CC BY-SA
4137	http://ota.ox.ac.uk/text/4137.txt	The orphan of China: a tragedy, as it is perform'd at the Theatre-Royal, in Drury-Lane.	Murphy, Arthur, 1727-1805.	1759.	English	CC BY-SA
3618	http://ota.ox.ac.uk/text/3618.txt	Arguments about the alteration of triennial elections of Parliament. In a letter to a friend in the country	Defoe, Daniel, 1661?-1731.	1716]	English	CC BY-SA
3799	http://ota.ox.ac.uk/text/3799.txt	The King in the country. A dramatic piece, in two acts. Acted at the Theatres-Royal, at Richmond and Windsor, 1788	Waldron, F. G. (Francis Godolphin), 1744-1818.	1789.	English	CC BY-SA
4747	http://ota.ox.ac.uk/text/4747.txt	Travels, in various parts of Europe, Asia, and Africa, during a series of thirty years and upwards. By John MacDonald,	MacDonald, John, b. 1741?	1790.	English	CC BY-SA
4273	http://ota.ox.ac.uk/text/4273.txt	The flitch of bacon; a comic opera: in two acts: as it is performed at the Theatre-Royal in the Hay-Market. By the Rev. Hen. Bate.	Dudley, H. Bate, Sir (Henry Bate), 1745-1824.	1779.	English	CC BY-SA
5603	http://ota.ox.ac.uk/text/5603.txt	The old man's guide to health and longer life: with rules for diet, exercise, and physick; ...	Hill, John, 1714?-1775.	[1750?]	English	CC BY-SA
4823	http://ota.ox.ac.uk/text/4823.txt	Modern times: or the adventures of Gabriel Outcast. Supposed to be written by himself. In imitation of Gil Blas. ... [pt.2]	Trusler, John, 1735-1820.	1785.	English	CC BY-SA
4237	http://ota.ox.ac.uk/text/4237.txt	Two letters from Mr. Burke to gentlemen in the city of Bristol: on the bills depending in parliament relative to the trade of Ireland.	Burke, Edmund, 1729-1797.	1778.	English	CC BY-SA
3369	http://ota.ox.ac.uk/text/3369.txt	Lectures on rhetoric and belles lettres: By Hugh Blair, ... In three volumes. ... [pt.2]	Blair, Hugh, 1718-1800.	1783.	English	CC BY-SA
4950	http://ota.ox.ac.uk/text/4950.txt	Zoonomia: or, the laws of organic life. ... By Erasmus Darwin, ... [pt.1]	Darwin, Erasmus, 1731-1802.	1794-96.	English	CC BY-SA
3835	http://ota.ox.ac.uk/text/3835.txt	The beauties of the late Right Hon. Edmund Burke, selected from the writings, &amp;c. of that extraordinary man, ... To which is prefixed, a sketch of the life, with some original anecdotes of Mr. Burke. In two volumes.: [pt.1]	Burke, Edmund, 1729-1797.	1798.	English	CC BY-SA
4489	http://ota.ox.ac.uk/text/4489.txt	The conduct of Christians made the sport of infidels: In a letter from a Turkish merchant at Amsterdam to the Grand Mufti at Constantinople: ...	Defoe, Daniel, 1661?-1731.	1717.	English	CC BY-SA
5619	http://ota.ox.ac.uk/text/5619.txt	An enquiry into the exility of the vessels in a human body: wherein animal identity is explained, and shewn incommunicable to any individual throughout the whole species. By Clifton Wintrinham, jun.	Wintringham, Clifton, 1689-1748.	1743.	English	CC BY-SA
3122	http://ota.ox.ac.uk/text/3122.txt	Great men and their environment	James, William, 1842-1910	1880	English	CC BY-SA
5372	http://ota.ox.ac.uk/text/5372.txt	A prospect of society	Goldsmith, Oliver, 1730?-1774.	1764]	English	CC BY-SA
4188	http://ota.ox.ac.uk/text/4188.txt	Such things are: a play, in five acts. As performed at the Theatre Royal, Covent Garden. By Mrs. Inchbald.	Inchbald, Mrs., 1753-1821.	1788.	English	CC BY-SA
3513	http://ota.ox.ac.uk/text/3513.txt	The age of reason: being an investigation of true and fabulous theology, by Thomas Paine. ...	Paine, Thomas, 1737-1809.	1794.	English	CC BY-SA
3997	http://ota.ox.ac.uk/text/3997.txt	The history of Mr. Fantom: the new fashioned philosopher and his man William.	More, Hannah, 1745-1833.	[1797?]	English	CC BY-SA
3115	http://ota.ox.ac.uk/text/3115.txt	Discourse of Western Planting	Hakluyt, Richard, 1552?-1616	1584	English	CC BY-SA
4705	http://ota.ox.ac.uk/text/4705.txt	Family secrets: literary and domestic. By Mr. Pratt. In five volumes. [pt.2]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1797.	English	CC BY-SA
3208	http://ota.ox.ac.uk/text/3208.txt	Dracula	Stoker, Bram, 1847-1912	1897	English	CC BY-SA
3328	http://ota.ox.ac.uk/text/3328.txt	An answer to The tale of a nettle: Written by D. D'Foe.	Defoe, Daniel, 1661?-1731.	1710.	English	CC BY-SA
3715	http://ota.ox.ac.uk/text/3715.txt	A letter to Mr. Secretary Dundas. In answer to his speech on the late proclamation. By Thomas Paine	Paine, Thomas, 1737-1809.	1792.	English	CC BY-SA
4791	http://ota.ox.ac.uk/text/4791.txt	Original papers: containing the secret history of Great Britain, from the restoration, to the accession of the House of Hannover. ... The whole arranged and published by James Macpherson, ... [pt.2]	Macpherson, James, 1736-1796.	1775.	English	CC BY-SA
3373	http://ota.ox.ac.uk/text/3373.txt	Emma Corbett: or, the miseries of civil war. Founded on some recent circumstances which happened in America. By the author of Liberal opinions, Pupil of pleasure, Shenstone Green, &amp;c. ... [pt.3]	Pratt, Mr. (Samuel Jackson), 1749-1814.	1780.	English	CC BY-SA
3635	http://ota.ox.ac.uk/text/3635.txt	An enquiry concerning the principles of morals: By David Hume, Esq;.	Hume, David, 1711-1776.	1751.	English	CC BY-SA
3352	http://ota.ox.ac.uk/text/3352.txt	Female empire: or, winter celebrated at London	Hawkins, William, 1722-1801.	1746 [1747?]	English	CC BY-SA
3552	http://ota.ox.ac.uk/text/3552.txt	The ghost: By the author.	Churchill, Charles, 1731-1764.	1762.	English	CC BY-SA
4044	http://ota.ox.ac.uk/text/4044.txt	A naturalist's calendar, with observations in various branches of natural history; extracted from the papers of the late Rev. Gilbert White,	White, Gilbert, 1720-1793.	1795.	English	CC BY-SA
3327	http://ota.ox.ac.uk/text/3327.txt	The female officer: or the humours of the army, a comedy. Altered from Shadwell.	Kemble, John Philip, 1757-1823.	1763.	English	CC BY-SA
3364	http://ota.ox.ac.uk/text/3364.txt	The new Bath guide: or, memoirs of the B-r-d family. In a series of poetical epistles.	Anstey, Christopher, 1724-1805.	1766.	English	CC BY-SA
4151	http://ota.ox.ac.uk/text/4151.txt	Reflections critical and satyrical, upon a late rhapsody call'd, An essay upon criticism: By Mr. Dennis.	Dennis, John, 1657-1734.	[1711]	English	CC BY-SA
3998	http://ota.ox.ac.uk/text/3998.txt	The history of Tom White: the postilion. Part I.	More, Hannah, 1745-1833.	[1795]	English	CC BY-SA
